1,1,53.99,61.85,121.82999999999998,58.48,1,1,1.0
1,2,99.68,0.0,223.61,60.34,1,1,0.0
1,3,320.37,0.0,387.88,110.34,1,1,1.0
2,1,36.6,59.47,118.1,55.629999999999995,1,1,1.0
2,2,99.68,0.0,223.61,60.34,1,1,0.0
2,3,320.18,0.0,387.87999999999994,110.32,1,1,1.0
3,1,18.8,55.9,115.2,54.9,1,1,1.0
3,2,99.68,0.0,223.61,60.34,1,1,0.0
3,3,319.98,0.0,387.88,110.29,1,1,1.0
4,1,5.05,52.54,106.25,53.559999999999995,1,1,1.0
4,2,99.68,0.0,223.61,60.34,1,1,0.0
4,3,319.79,0.0,387.87999999999994,110.26,1,1,1.0
5,1,0.0,50.2,91.5,51.28999999999999,1,1,1.0
5,2,99.68,0.0,223.61,60.34,1,1,0.0
5,3,319.59,0.0,387.88000000000005,110.23,1,1,1.0
6,1,0.0,48.35,75.12,49.02,1,1,1.0
6,2,99.68,0.0,223.61,60.34,1,1,0.0
6,3,319.4,0.0,387.88,110.2,1,1,1.0
7,1,0.0,46.5,58.75,46.739999999999995,1,1,1.0
7,2,99.68,0.0,223.61,60.34,1,1,0.0
7,3,319.2,0.0,387.88000000000005,110.18,1,1,1.0
8,1,0.0,44.65,42.38,44.470000000000006,1,1,1.0
8,2,99.68,0.0,223.61,60.34,1,1,0.0
8,3,319.01,0.0,387.88,110.15,1,1,1.0
9,1,0.0,42.8,26.0,42.2,1,1,1.0
9,2,99.68,0.0,223.61,60.34,1,1,0.0
9,3,318.82,0.0,387.88000000000005,110.12,1,1,1.0
10,2,99.68,0.0,223.61,60.34,1,1,0.0
10,3,318.62,0.0,387.88,110.09,1,1,1.0
11,4,869.77,180.15,90.23000000000002,86.45000000000002,1,1,1.0
11,2,99.68,0.0,223.61,60.34,1,1,0.0
11,3,318.43,0.0,387.87999999999994,110.07,1,1,1.0
12,4,823.33,169.12,136.66999999999996,94.07999999999998,1,1,1.0
12,2,99.68,0.0,223.61,60.34,1,1,0.0
12,3,318.23,0.0,387.88,110.04,1,1,1.0
13,4,777.9,160.6,182.10000000000002,103.9,1,1,1.0
13,2,99.68,0.0,223.61,60.34,1,1,0.0
13,3,318.04,0.0,387.87999999999994,110.01,1,1,1.0
14,4,738.2,151.04,221.79999999999995,118.16,1,1,1.0
14,2,99.68,0.0,223.61,60.34,1,1,0.0
14,3,317.84,0.0,387.88000000000005,109.98,1,1,1.0
15,5,0.0,165.77,33.82,72.81,1,1,1.0
15,4,695.47,142.8,264.53,117.5,1,1,1.0
15,2,99.68,0.0,223.61,60.34,1,1,0.0
15,3,317.65,0.0,387.88,109.95,1,1,1.0
16,5,0.0,168.0,51.6,84.68,1,1,1.0
16,4,658.07,137.44,271.53,111.75999999999999,1,1,1.0
16,2,99.68,0.0,223.61,60.34,1,1,0.0
16,3,317.46,0.0,387.88000000000005,109.93,1,1,1.0
